"","year","country","normalised_total"
"1",2024,"People's Republic of China",1
"7",2024,"People's Republic of China",0.833333333333333
"40",2024,"People's Republic of China",0.714285714285714
"41",2024,"People's Republic of China",0.714285714285714
"42",2024,"People's Republic of China",0.714285714285714
"136",2024,"People's Republic of China",0.547619047619048
"610",2023,"People's Republic of China",1
"611",2023,"People's Republic of China",1
"615",2023,"People's Republic of China",0.976190476190476
"616",2023,"People's Republic of China",0.976190476190476
"620",2023,"People's Republic of China",0.928571428571429
"646",2023,"People's Republic of China",0.833333333333333
"1230",2022,"People's Republic of China",1
"1231",2022,"People's Republic of China",1
"1232",2022,"People's Republic of China",1
"1233",2022,"People's Republic of China",1
"1234",2022,"People's Republic of China",1
"1235",2022,"People's Republic of China",1
"1817",2021,"People's Republic of China",1
"1819",2021,"People's Republic of China",0.857142857142857
"1820",2021,"People's Republic of China",0.857142857142857
"1832",2021,"People's Republic of China",0.761904761904762
"1834",2021,"People's Republic of China",0.738095238095238
"1835",2021,"People's Republic of China",0.738095238095238
"2436",2020,"People's Republic of China",1
"2437",2020,"People's Republic of China",0.952380952380952
"2438",2020,"People's Republic of China",0.880952380952381
"2445",2020,"People's Republic of China",0.857142857142857
"2483",2020,"People's Republic of China",0.738095238095238
"2507",2020,"People's Republic of China",0.69047619047619
"3052",2019,"People's Republic of China",1
"3053",2019,"People's Republic of China",1
"3061",2019,"People's Republic of China",0.928571428571429
"3070",2019,"People's Republic of China",0.833333333333333
"3071",2019,"People's Republic of China",0.833333333333333
"3083",2019,"People's Republic of China",0.80952380952381
"3681",2018,"People's Republic of China",0.880952380952381
"3682",2018,"People's Republic of China",0.857142857142857
"3686",2018,"People's Republic of China",0.833333333333333
"3710",2018,"People's Republic of China",0.738095238095238
"3727",2018,"People's Republic of China",0.714285714285714
"3728",2018,"People's Republic of China",0.714285714285714
"4270",2017,"People's Republic of China",0.761904761904762
"4285",2017,"People's Republic of China",0.666666666666667
"4297",2017,"People's Republic of China",0.619047619047619
"4310",2017,"People's Republic of China",0.595238095238095
"4311",2017,"People's Republic of China",0.595238095238095
"4335",2017,"People's Republic of China",0.547619047619048
"4882",2016,"People's Republic of China",1
"4888",2016,"People's Republic of China",0.976190476190476
"4890",2016,"People's Republic of China",0.857142857142857
"4910",2016,"People's Republic of China",0.738095238095238
"4936",2016,"People's Republic of China",0.666666666666667
"4955",2016,"People's Republic of China",0.619047619047619
"5485",2015,"People's Republic of China",0.976190476190476
"5494",2015,"People's Republic of China",0.738095238095238
"5495",2015,"People's Republic of China",0.738095238095238
"5500",2015,"People's Republic of China",0.714285714285714
"5528",2015,"People's Republic of China",0.595238095238095
"5546",2015,"People's Republic of China",0.547619047619048
"6062",2014,"People's Republic of China",1
"6067",2014,"People's Republic of China",0.904761904761905
"6078",2014,"People's Republic of China",0.833333333333333
"6079",2014,"People's Republic of China",0.833333333333333
"6106",2014,"People's Republic of China",0.69047619047619
"6211",2014,"People's Republic of China",0.523809523809524
"8",2024,"Republic of Korea",0.833333333333333
"43",2024,"Republic of Korea",0.714285714285714
"78",2024,"Republic of Korea",0.642857142857143
"79",2024,"Republic of Korea",0.642857142857143
"96",2024,"Republic of Korea",0.595238095238095
"116",2024,"Republic of Korea",0.571428571428571
"612",2023,"Republic of Korea",1
"619",2023,"Republic of Korea",0.952380952380952
"627",2023,"Republic of Korea",0.880952380952381
"647",2023,"Republic of Korea",0.833333333333333
