"","country","key","value"
"1.p1","Albania","p1",3.57
"1.p2","Albania","p2",0.9
"1.p3","Albania","p3",0.03
"1.p4","Albania","p4",2.33
"1.p5","Albania","p5",0.23
"1.p6","Albania","p6",0
"2.p1","Algeria","p1",3.62
"2.p2","Algeria","p2",1.51
"2.p3","Algeria","p3",0.07
"2.p4","Algeria","p4",3.33
"2.p5","Algeria","p5",0.8
"2.p6","Algeria","p6",0.1
"3.p1","Argentina","p1",6.1
"3.p2","Argentina","p2",2.57
"3.p3","Argentina","p3",0.43
"3.p4","Argentina","p4",3.97
"3.p5","Argentina","p5",3.03
"3.p6","Argentina","p6",0.23
"4.p1","Armenia","p1",6.57
"4.p2","Armenia","p2",3.9
"4.p3","Armenia","p3",0.77
"4.p4","Armenia","p4",6.47
"4.p5","Armenia","p5",3.07
"4.p6","Armenia","p6",0.1
"5.p1","Australia","p1",6.4
"5.p2","Australia","p2",4.5
"5.p3","Australia","p3",1.23
"5.p4","Australia","p4",6.63
"5.p5","Australia","p5",4.23
"5.p6","Australia","p6",0.83
"6.p1","Austria","p1",5.67
"6.p2","Austria","p2",2.9
"6.p3","Austria","p3",0.47
"6.p4","Austria","p4",3.33
"6.p5","Austria","p5",2.93
"6.p6","Austria","p6",0.17
"7.p1","Azerbaijan","p1",6.27
"7.p2","Azerbaijan","p2",2.57
"7.p3","Azerbaijan","p3",0.2
"7.p4","Azerbaijan","p4",4.3
"7.p5","Azerbaijan","p5",1.63
"7.p6","Azerbaijan","p6",0.07
"8.p1","Bangladesh","p1",5.57
"8.p2","Bangladesh","p2",2.33
"8.p3","Bangladesh","p3",0.3
"8.p4","Bangladesh","p4",6.2
"8.p5","Bangladesh","p5",2
"8.p6","Bangladesh","p6",0.07
"9.p1","Belarus","p1",6.8
"9.p2","Belarus","p2",3.83
"9.p3","Belarus","p3",1.53
"9.p4","Belarus","p4",7
"9.p5","Belarus","p5",3.93
"9.p6","Belarus","p6",0.37
"10.p1","Belgium","p1",6.47
"10.p2","Belgium","p2",1.87
"10.p3","Belgium","p3",0.27
"10.p4","Belgium","p4",3.8
"10.p5","Belgium","p5",2
"10.p6","Belgium","p6",0.03
"11.p1","Bhutan","p1",0.8
"11.p2","Bhutan","p2",0
"11.p3","Bhutan","p3",0
"11.p4","Bhutan","p4",0.2
"11.p5","Bhutan","p5",0.6
"11.p6","Bhutan","p6",0
"12.p1","Bolivia","p1",3.25
"12.p2","Bolivia","p2",0.71
"12.p3","Bolivia","p3",0.13
"12.p4","Bolivia","p4",2.46
"12.p5","Bolivia","p5",0.29
"12.p6","Bolivia","p6",0.13
"13.p1","Bosnia and Herzegovina","p1",6.83
"13.p2","Bosnia and Herzegovina","p2",3.43
"13.p3","Bosnia and Herzegovina","p3",0.3
"13.p4","Bosnia and Herzegovina","p4",5.43
"13.p5","Bosnia and Herzegovina","p5",3.63
"13.p6","Bosnia and Herzegovina","p6",0.17
"14.p1","Botswana","p1",1.17
"14.p2","Botswana","p2",0.1
"14.p3","Botswana","p3",0.07
"14.p4","Botswana","p4",0.3
"14.p5","Botswana","p5",0.1
"14.p6","Botswana","p6",0
"15.p1","Brazil","p1",6.8
"15.p2","Brazil","p2",4.8
"15.p3","Brazil","p3",1.2
"15.p4","Brazil","p4",6.3
"15.p5","Brazil","p5",4.67
"15.p6","Brazil","p6",0.53
"16.p1","Bulgaria","p1",7
"16.p2","Bulgaria","p2",3.07
"16.p3","Bulgaria","p3",1.13
"16.p4","Bulgaria","p4",6.83
"16.p5","Bulgaria","p5",4.23
"16.p6","Bulgaria","p6",0.73
"17.p1","Burkina Faso","p1",1.17
"17.p2","Burkina Faso","p2",0
"17.p3","Burkina Faso","p3",0
"17.p4","Burkina Faso","p4",0.17
"17.p5","Burkina Faso","p5",0
"17.p6","Burkina Faso","p6",0
"18.p1","Cameroon","p1",1
"18.p2","Cameroon","p2",0
"18.p3","Cameroon","p3",0
"18.p4","Cameroon","p4",0
"18.p5","Cameroon","p5",0
"18.p6","Cameroon","p6",0
"19.p1","Canada","p1",6.8
"19.p2","Canada","p2",4.3
"19.p3","Canada","p3",2.2
"19.p4","Canada","p4",6.53
"19.p5","Canada","p5",5.27
"19.p6","Canada","p6",1.7
