"","country","key","value"
"1.p1","Albania","p1",2.89
"1.p2","Albania","p2",0.8
"1.p3","Albania","p3",0.06
"1.p4","Albania","p4",2.49
"1.p5","Albania","p5",0.68
"1.p6","Albania","p6",0.05
"2.p1","Algeria","p1",3.59
"2.p2","Algeria","p2",1.2
"2.p3","Algeria","p3",0.06
"2.p4","Algeria","p4",3.06
"2.p5","Algeria","p5",0.5
"2.p6","Algeria","p6",0.07
"3.p1","Angola","p1",0
"3.p2","Angola","p2",0
"3.p3","Angola","p3",0
"3.p4","Angola","p4",0
"3.p5","Angola","p5",0
"3.p6","Angola","p6",0
"4.p1","Argentina","p1",5.5
"4.p2","Argentina","p2",2.29
"4.p3","Argentina","p3",0.39
"4.p4","Argentina","p4",4.43
"4.p5","Argentina","p5",1.83
"4.p6","Argentina","p6",0.29
"5.p1","Armenia","p1",5.24
"5.p2","Armenia","p2",2.57
"5.p3","Armenia","p3",0.36
"5.p4","Armenia","p4",5.11
"5.p5","Armenia","p5",1.96
"5.p6","Armenia","p6",0.14
"6.p1","Australia","p1",6.22
"6.p2","Australia","p2",3.93
"6.p3","Australia","p3",1.13
"6.p4","Australia","p4",6.15
"6.p5","Australia","p5",3.53
"6.p6","Australia","p6",0.69
"7.p1","Austria","p1",4.81
"7.p2","Austria","p2",2.06
"7.p3","Austria","p3",0.21
"7.p4","Austria","p4",3.69
"7.p5","Austria","p5",1.73
"7.p6","Austria","p6",0.18
"8.p1","Azerbaijan","p1",4.12
"8.p2","Azerbaijan","p2",2.29
"8.p3","Azerbaijan","p3",0.21
"8.p4","Azerbaijan","p4",4.46
"8.p5","Azerbaijan","p5",1.07
"8.p6","Azerbaijan","p6",0.13
"9.p1","Bangladesh","p1",4.93
"9.p2","Bangladesh","p2",1.92
"9.p3","Bangladesh","p3",0.15
"9.p4","Bangladesh","p4",4.72
"9.p5","Bangladesh","p5",1.29
"9.p6","Bangladesh","p6",0.09
"10.p1","Belarus","p1",6.25
"10.p2","Belarus","p2",3.75
"10.p3","Belarus","p3",0.93
"10.p4","Belarus","p4",6.33
"10.p5","Belarus","p5",3.55
"10.p6","Belarus","p6",0.49
"11.p1","Belgium","p1",4.87
"11.p2","Belgium","p2",1.86
"11.p3","Belgium","p3",0.25
"11.p4","Belgium","p4",4.01
"11.p5","Belgium","p5",1.46
"11.p6","Belgium","p6",0.22
"12.p1","Benin","p1",0.25
"12.p2","Benin","p2",0.25
"12.p3","Benin","p3",0
"12.p4","Benin","p4",0.33
"12.p5","Benin","p5",0.25
"12.p6","Benin","p6",0
"13.p1","Bhutan","p1",0.8
"13.p2","Bhutan","p2",0
"13.p3","Bhutan","p3",0
"13.p4","Bhutan","p4",0.2
"13.p5","Bhutan","p5",0.6
"13.p6","Bhutan","p6",0
"14.p1","Bolivia","p1",1.74
"14.p2","Bolivia","p2",0.34
"14.p3","Bolivia","p3",0.04
"14.p4","Bolivia","p4",1.22
"14.p5","Bolivia","p5",0.13
"14.p6","Bolivia","p6",0.03
"15.p1","Bosnia and Herzegovina","p1",4.88
"15.p2","Bosnia and Herzegovina","p2",1.98
"15.p3","Bosnia and Herzegovina","p3",0.14
"15.p4","Bosnia and Herzegovina","p4",4.77
"15.p5","Bosnia and Herzegovina","p5",1.57
"15.p6","Bosnia and Herzegovina","p6",0.13
"16.p1","Botswana","p1",0.95
"16.p2","Botswana","p2",0.07
"16.p3","Botswana","p3",0.03
"16.p4","Botswana","p4",0.4
"16.p5","Botswana","p5",0.17
"16.p6","Botswana","p6",0
"17.p1","Brazil","p1",6.03
"17.p2","Brazil","p2",3.59
"17.p3","Brazil","p3",0.59
"17.p4","Brazil","p4",6.29
"17.p5","Brazil","p5",3.19
"17.p6","Brazil","p6",0.62
"18.p1","Brunei Darussalam","p1",0
"18.p2","Brunei Darussalam","p2",2
"18.p3","Brunei Darussalam","p3",0
"18.p4","Brunei Darussalam","p4",1.5
"18.p5","Brunei Darussalam","p5",0.5
"18.p6","Brunei Darussalam","p6",0
"19.p1","Bulgaria","p1",6.64
"19.p2","Bulgaria","p2",4.14
"19.p3","Bulgaria","p3",1.45
"19.p4","Bulgaria","p4",6.33
"19.p5","Bulgaria","p5",3.89
"19.p6","Bulgaria","p6",1.58
"20.p1","Burkina Faso","p1",1
"20.p2","Burkina Faso","p2",0
"20.p3","Burkina Faso","p3",0
"20.p4","Burkina Faso","p4",1.17
"20.p5","Burkina Faso","p5",0.08
"20.p6","Burkina Faso","p6",0
"21.p1","Cambodia","p1",1.29
"21.p2","Cambodia","p2",0.4
"21.p3","Cambodia","p3",0.04
"21.p4","Cambodia","p4",2.01
"21.p5","Cambodia","p5",0.06
"21.p6","Cambodia","p6",0
"22.p1","Cameroon","p1",1
"22.p2","Cameroon","p2",0
"22.p3","Cameroon","p3",0
"22.p4","Cameroon","p4",0
"22.p5","Cameroon","p5",0
"22.p6","Cameroon","p6",0
"23.p1","Canada","p1",6.39
"23.p2","Canada","p2",4.03
"23.p3","Canada","p3",1.42
"23.p4","Canada","p4",6.24
"23.p5","Canada","p5",3.99
"23.p6","Canada","p6",1.22
"24.p1","Chile","p1",3.36
"24.p2","Chile","p2",0.79
"24.p3","Chile","p3",0.19
"24.p4","Chile","p4",2.02
"24.p5","Chile","p5",1.1
"24.p6","Chile","p6",0.02
"25.p1","China","p1",6.83
"25.p2","China","p2",6.25
"25.p3","China","p3",4.38
"25.p4","China","p4",6.87
"25.p5","China","p5",6.28
"25.p6","China","p6",4.19
"26.p1","Colombia","p1",5.1
"26.p2","Colombia","p2",1.72
"26.p3","Colombia","p3",0.2
"26.p4","Colombia","p4",4.49
"26.p5","Colombia","p5",1.61
"26.p6","Colombia","p6",0.27
