"","country","year","key","value"
"1","United States of America",2024,"p1",7
"2","United States of America",2024,"p2",6.83
"3","United States of America",2024,"p3",3.17
"4","United States of America",2024,"p4",6.67
"5","United States of America",2024,"p5",5.83
"6","United States of America",2024,"p6",2.5
"7","China",2024,"p1",7
"8","China",2024,"p2",7
"9","China",2024,"p3",5.17
"10","China",2024,"p4",6.67
"11","China",2024,"p5",3.67
"12","China",2024,"p6",2.17
"13","South Korea",2024,"p1",7
"14","South Korea",2024,"p2",6.17
"15","South Korea",2024,"p3",3
"16","South Korea",2024,"p4",7
"17","South Korea",2024,"p5",1.17
"18","South Korea",2024,"p6",3.67
"19","United Kingdom",2024,"p1",7
"20","United Kingdom",2024,"p2",5.5
"21","United Kingdom",2024,"p3",1.33
"22","United Kingdom",2024,"p4",7
"23","United Kingdom",2024,"p5",5.17
"24","United Kingdom",2024,"p6",1
"25","Taiwan",2024,"p1",7
"26","Taiwan",2024,"p2",5.5
"27","Taiwan",2024,"p3",1
"28","Taiwan",2024,"p4",7
"29","Taiwan",2024,"p5",3.83
"30","Taiwan",2024,"p6",0.5
"31","Romania",2024,"p1",6.5
"32","Romania",2024,"p2",7
"33","Romania",2024,"p3",0.33
"34","Romania",2024,"p4",6.5
"35","Romania",2024,"p5",2.33
"36","Romania",2024,"p6",1.5
"37","Italy",2024,"p1",7
"38","Italy",2024,"p2",5.33
"39","Italy",2024,"p3",0.5
"40","Italy",2024,"p4",6
"41","Italy",2024,"p5",4.5
"42","Italy",2024,"p6",0.5
"43","Israel",2024,"p1",6.5
"44","Israel",2024,"p2",5.83
"45","Israel",2024,"p3",2.33
"46","Israel",2024,"p4",6
"47","Israel",2024,"p5",2.33
"48","Israel",2024,"p6",0.67
"49","Canada",2024,"p1",6.17
"50","Canada",2024,"p2",3.83
"51","Canada",2024,"p3",1.33
"52","Canada",2024,"p4",7
"53","Canada",2024,"p5",1.83
"54","Canada",2024,"p6",1.67
"55","China",2023,"p1",7
"56","China",2023,"p2",7
"57","China",2023,"p3",7
"58","China",2023,"p4",7
"59","China",2023,"p5",7
"60","China",2023,"p6",5
"61","United States of America",2023,"p1",7
"62","United States of America",2023,"p2",7
"63","United States of America",2023,"p3",7
"64","United States of America",2023,"p4",7
"65","United States of America",2023,"p5",6.17
"66","United States of America",2023,"p6",2.83
"67","South Korea",2023,"p1",7
"68","South Korea",2023,"p2",6.67
"69","South Korea",2023,"p3",7
"70","South Korea",2023,"p4",7
"71","South Korea",2023,"p5",5.5
"72","South Korea",2023,"p6",2.67
"73","Romania",2023,"p1",7
"74","Romania",2023,"p2",7
"75","Romania",2023,"p3",7
"76","Romania",2023,"p4",7
"77","Romania",2023,"p5",4
"78","Romania",2023,"p6",2.67
"79","Canada",2023,"p1",7
"80","Canada",2023,"p2",4.83
"81","Canada",2023,"p3",4.17
"82","Canada",2023,"p4",7
"83","Canada",2023,"p5",6.33
"84","Canada",2023,"p6",1.17
"85","Taiwan",2023,"p1",7
"86","Taiwan",2023,"p2",6
"87","Taiwan",2023,"p3",2.17
"88","Taiwan",2023,"p4",7
"89","Taiwan",2023,"p5",6.33
"90","Taiwan",2023,"p6",0.33
"91","United Kingdom",2023,"p1",7
"92","United Kingdom",2023,"p2",5
"93","United Kingdom",2023,"p3",3.67
"94","United Kingdom",2023,"p4",6.5
"95","United Kingdom",2023,"p5",5.67
"96","United Kingdom",2023,"p6",0
"97","Israel",2023,"p1",6.5
"98","Israel",2023,"p2",3
"99","Israel",2023,"p3",4.67
"100","Israel",2023,"p4",7
"101","Israel",2023,"p5",5.5
"102","Israel",2023,"p6",0.5
"103","Italy",2023,"p1",6.33
"104","Italy",2023,"p2",6.83
"105","Italy",2023,"p3",1.33
"106","Italy",2023,"p4",7
"107","Italy",2023,"p5",4.83
"108","Italy",2023,"p6",0.17
"109","China",2022,"p1",7
"110","China",2022,"p2",7
"111","China",2022,"p3",7
"112","China",2022,"p4",7
"113","China",2022,"p5",7
"114","China",2022,"p6",7
"115","South Korea",2022,"p1",7
"116","South Korea",2022,"p2",7
"117","South Korea",2022,"p3",4.33
"118","South Korea",2022,"p4",7
"119","South Korea",2022,"p5",6.83
"120","South Korea",2022,"p6",2.5
"121","United States of America",2022,"p1",7
