"year","category","value"
2000,"p1",1888
2000,"p2",1276
2000,"p3",302
2000,"p4",1467
2000,"p5",753
2000,"p6",484
2001,"p1",1724
2001,"p2",733
2001,"p3",415
2001,"p4",1529
2001,"p5",1291
2001,"p6",368
2002,"p1",1652
2002,"p2",1704
2002,"p3",283
2002,"p4",1866
2002,"p5",1086
2002,"p6",196
2003,"p1",1626
2003,"p2",1053
2003,"p3",185
2003,"p4",2117
2003,"p5",737
2003,"p6",264
2004,"p1",2237
2004,"p2",1342
2004,"p3",492
2004,"p4",1983
2004,"p5",1221
2004,"p6",611
2005,"p1",1341
2005,"p2",1565
2005,"p3",468
2005,"p4",1928
2005,"p5",1113
2005,"p6",690
2006,"p1",2796
2006,"p2",913
2006,"p3",328
2006,"p4",2489
2006,"p5",589
2006,"p6",93
2007,"p1",1759
2007,"p2",1310
2007,"p3",158
2007,"p4",2954
2007,"p5",987
2007,"p6",79
2008,"p1",2664
2008,"p2",1371
2008,"p3",430
2008,"p4",2355
2008,"p5",1111
2008,"p6",139
2009,"p1",2714
2009,"p2",2096
2009,"p3",576
2009,"p4",1647
2009,"p5",1398
2009,"p6",95
2010,"p1",2812
2010,"p2",1330
2010,"p3",240
2010,"p4",2758
2010,"p5",481
2010,"p6",190
2011,"p1",3010
2011,"p2",368
2011,"p3",594
2011,"p4",2291
2011,"p5",1835
2011,"p6",179
2012,"p1",3077
2012,"p2",1395
2012,"p3",226
2012,"p4",2060
2012,"p5",910
2012,"p6",184
2013,"p1",2165
2013,"p2",1331
2013,"p3",414
2013,"p4",2868
2013,"p5",1292
2013,"p6",156
2014,"p1",2995
2014,"p2",1664
2014,"p3",283
2014,"p4",2906
2014,"p5",957
2014,"p6",190
2015,"p1",2485
2015,"p2",784
2015,"p3",377
2015,"p4",2766
2015,"p5",873
2015,"p6",205
2016,"p1",3174
2016,"p2",1224
2016,"p3",151
2016,"p4",2856
2016,"p5",1010
2016,"p6",485
2017,"p1",3655
2017,"p2",1417
2017,"p3",26
2017,"p4",3093
2017,"p5",596
2017,"p6",181
2018,"p1",2931
2018,"p2",1750
2018,"p3",165
2018,"p4",2353
2018,"p5",1601
2018,"p6",379
2019,"p1",3216
2019,"p2",1490
2019,"p3",355
2019,"p4",2320
2019,"p5",2215
2019,"p6",250
2020,"p1",3273
2020,"p2",1385
2020,"p3",579
2020,"p4",2426
2020,"p5",1723
2020,"p6",174
2021,"p1",2719
2021,"p2",232
2021,"p3",230
2021,"p4",2363
2021,"p5",1332
2021,"p6",298
2022,"p1",3221
2022,"p2",2494
2022,"p3",443
2022,"p4",3178
2022,"p5",2032
2022,"p6",385
2023,"p1",3570
2023,"p2",1919
2023,"p3",734
2023,"p4",2873
2023,"p5",1452
2023,"p6",164
2024,"p1",3350
2024,"p2",1507
2024,"p3",252
2024,"p4",2918
2024,"p5",1330
2024,"p6",230
