"","contestant","top10_appearances"
"539","József Pelikán",4
"593","László Lovász",4
"619","Lisa Sauermann",4
"630","Luke Robitaille",4
"658","Martin Härterich",4
"956","Stefan Heinrich",4
"1078","Wolfgang Burmeister",4
"1158","Zhuo Qun (Alex) Song",4
"44","Alexander Gunning",3
"132","Béla Bollobás",3
"140","Bernhard Leeb",3
"196","Ciprian Manolescu",3
"211","Dan Voiculescu",3
"259","Dong Ryul Kim",3
"284","Ervin Bajmóczy",3
"292","Evgenia Malinnikova",3
"311","Gábor Megyesi",3
"363","Gyudong Lee",3
"424","Imre Ruzsa",3
"436","Ivan Ivanov",3
"457","Jan Nekovář",3
"473","Jeck Lim",3
"518","John Rickard",3
"524","Jordan S. Ellenberg",3
"634","Makoto Soejima",3
"759","Nikolai Dourov",3
"767","Nipun Pitimanaaree",3
"778","Oleg Gol'berg",3
"832","Peter Scholze",3
"853","Przemysław Mazur",3
"877","Reid Barton",3
"891","Rosen Dimitrov Kralev",3
"917","Sergei Ivanov",3
"928","Serguei Norine",3
"944","Simon Phillips Norton",3
"957","Stefan Laurenţiu Horneţ",3
"981","Teodor Bănică",3
"982","Teodor von Burg",3
"1048","Vladimir Barzov",3
"1128","Yuliy Sannikov",3
"1161","Zoltán Füredi",3
"3","?",2
"4","Aaron Pixton",2
"12","Adrian Ocneanu",2
"13","Adrian Vasiu",2
"17","Akio Kishikawa",2
"37","Aleksei Aleksandrov",2
"41","Alex (Lin) Zhai",2
"46","Alexander Magazinov",2
